Date,JD,averagemag
2019-02-04 13:29:42,2458519.06229,14.08
2019-02-24 07:37:54,2458538.81799,14.13
2019-02-24 11:51:33,2458538.99413,14.12
2019-02-24 13:38:07,2458539.06814,14.10
2019-04-03 07:09:37,2458576.79834,14.06
2019-05-08 04:43:52,2458611.69713,14.05
2019-05-08 06:30:26,2458611.77113,14.06
2019-05-28 16:42:37,2458632.19626,null
2019-07-13 15:14:29,2458678.13506,14.04
2019-07-13 17:01:03,2458678.20906,untrusted
2019-07-13 21:14:45,2458678.38524,null
2019-08-08 23:45:48,2458704.49014,14.02
2019-08-09 01:32:23,2458704.56416,14.01
2019-08-09 05:46:03,2458704.74031,14.01
2019-08-30 06:17:09,2458725.76191,14.01
2019-08-30 08:03:43,2458725.83591,14.00
2019-10-07 15:44:00,2458764.15556,13.99
2019-11-10 23:29:48,2458798.47903,13.97
2019-11-30 06:08:31,2458817.75591,13.96
2020-01-12 13:14:51,2458861.05198,13.93
2020-01-12 15:01:25,2458861.12598,13.93
2020-01-12 19:15:06,2458861.30215,untrusted
2020-01-19 13:22:39,2458868.05740,13.92
2020-01-19 15:09:13,2458868.13140,13.93
2020-01-19 19:22:53,2458868.30756,13.94
2020-03-03 04:11:48,2458911.67486,13.93
2020-03-03 05:58:30,2458911.74896,null
2020-03-22 18:34:36,2458931.27403,13.92
2020-03-22 22:48:15,2458931.45017,13.92
2020-04-26 12:27:05,2458966.01881,13.90
2020-04-26 14:13:39,2458966.09281,13.90
2020-06-04 09:48:26,2459004.90863,13.89
2020-06-04 14:02:06,2459005.08479,13.87
2020-06-04 15:48:40,2459005.15880,13.88
2020-06-25 14:30:43,2459026.10466,13.87
2020-06-25 16:17:17,2459026.17867,13.86
2020-06-25 20:30:57,2459026.35483,13.86
2020-06-25 22:17:31,2459026.42883,13.86
2020-08-25 20:38:44,2459087.36023,13.83
2020-09-12 00:57:25,2459104.53987,null
2020-10-18 19:59:18,2459141.33285,13.78
2020-11-20 23:52:50,2459174.49502,13.75
2020-11-21 01:39:25,2459174.56904,13.76
2020-12-14 07:44:40,2459197.82269,13.76
2020-12-14 11:58:21,2459197.99885,13.75
2021-02-04 23:41:58,2459250.48748,13.68
2021-02-05 01:28:32,2459250.56148,13.69
2021-02-05 05:42:36,2459250.73792,null
2021-02-05 07:28:46,2459250.81164,null
2021-02-25 07:36:27,2459270.81698,13.71
2021-02-25 11:50:35,2459270.99346,null
2021-02-25 13:36:45,2459271.06719,null
2021-04-03 23:21:53,2459308.47353,13.67
2021-05-08 22:41:26,2459343.44544,13.67
2021-05-09 00:28:00,2459343.51944,13.66
2021-05-29 04:40:19,2459363.69466,13.64
2021-07-14 04:58:24,2459409.70722,13.64
2021-07-14 09:12:04,2459409.88338,untrusted
2021-07-14 10:58:38,2459409.95738,13.62
2021-07-21 15:17:48,2459417.13736,13.62
2021-07-21 17:04:22,2459417.21137,13.62
2021-07-21 21:18:02,2459417.38752,13.63
2021-07-21 23:04:37,2459417.46154,13.63
2021-09-05 15:40:26,2459463.15308,13.58
2021-09-25 19:55:14,2459483.33002,13.58
2021-09-25 21:41:48,2459483.40403,13.58
2021-10-30 07:22:10,2459517.80706,13.54
2021-12-06 12:59:14,2459555.04113,13.49
2021-12-06 14:45:49,2459555.11515,13.48
2021-12-06 18:59:30,2459555.29132,13.49
2021-12-06 20:46:04,2459555.36532,13.48
2021-12-26 08:55:58,2459574.87220,13.48
2021-12-26 13:09:38,2459575.04836,13.47
2021-12-26 14:56:13,2459575.12237,13.47

